Mes,Código Material,Venta Neta Kilos
2020-02,1030868,1104.0
2020-02,1030869,2592.0
2020-02,1030870,432.0
2020-02,1030871,96.0
2020-02,1031194,0.0
2020-02,1031806,120.0
2020-02,1032664,10.4
2020-02,1032665,0.0
2020-02,1032673,0.0
2020-02,1032719,0.0
2020-02,1041591,40.0
2020-02,1041779,165.0
2020-02,1041780,0.0
2020-02,1041781,0.0
2020-02,1041782,90.0
2020-02,1041787,0.0
2020-02,1041789,0.0
2020-02,1041791,0.0
2020-02,1041795,0.0
2020-02,1041796,0.0
2020-02,1041799,1.0
2020-02,1041807,0.0
2020-02,1042914,0.0
2020-02,3001601,11250.0
2020-02,3001603,6000.0
2020-02,3002507,2475.0
2020-02,3010861,3.0
2020-02,3014380,2500.0
2020-02,3017353,600.0
2020-02,3017624,3500.0
2020-02,3019451,8169.0
2020-02,3019452,53375.0
2020-02,1003831,45.0
2020-02,1003856,980.0
2020-02,1003861,0.0
2020-02,1003863,280.0
2020-02,1003865,40.0
2020-02,1003866,100.0
2020-02,1003870,0.0
2020-02,1003872,275.0
2020-02,1003874,36.0
2020-02,1003875,1625.0
2020-02,1003883,100.0
2020-02,1003915,0.8
2020-02,1003916,48.0
2020-02,1003930,0.0
2020-02,1003934,0.0
2020-02,1004126,1.0
2020-02,1004132,0.0
2020-02,1004134,110.0
2020-02,1004135,0.0
2020-02,1004136,0.0
2020-02,1004139,0.0
2020-02,1004146,180.0
2020-02,1004147,95.0
2020-02,1004151,0.0
2020-02,1004157,170.0
2020-02,1004158,0.0
2020-02,1004159,1380.0
2020-02,1007270,0.0
2020-02,1007307,157.0
2020-02,1007308,16.0
2020-02,1007309,800.0
2020-02,1007310,100.0
2020-02,1008505,2060.0
2020-02,1010520,120.0
2020-02,1010975,260.0
2020-02,1010976,360.0
2020-02,1011721,587.5
2020-02,1012304,30.0
2020-02,1012308,200.0
2020-02,1012721,0.0
2020-02,1015575,37.5
2020-02,1015577,20.0
2020-02,1015578,0.0
2020-02,1016231,2000.0
2020-02,1018434,1860.0
2020-02,1018660,0.0
2020-02,1018661,30.0
2020-02,1018662,0.0
2020-02,1019983,0.0
2020-02,1025298,60.0
2020-02,1025986,0.0
2020-02,1026978,0.0
2020-02,1030868,14520.0
2020-02,1030869,5424.0
2020-02,1030870,2496.0
2020-02,1031806,60.0
2020-02,1032664,22.1
2020-02,1032665,1.3
2020-02,1032673,6.0
2020-02,1041779,0.0
2020-02,1041781,5.0
2020-02,1041782,100.0
2020-02,1041787,0.0
2020-02,1041788,0.0
2020-02,1041791,0.0
2020-02,1041796,0.0
2020-02,1041799,0.0
2020-02,3001601,11250.0
2020-02,3001603,9000.0
2020-02,3002507,5375.0
2020-02,3008459,0.0
2020-02,3011491,6000.0
2020-02,3014380,1200.0
2020-02,3014381,1720.0
2020-02,3017353,400.0
2020-02,3017624,10200.0
2020-02,3018824,0.0
2020-02,3019452,59908.0
2020-02,3021522,4120.0
2020-02,3024247,65.0
2020-02,1003831,110.0
2020-02,1003861,0.0
2020-02,1003863,700.0
2020-02,1003865,0.0
2020-02,1003866,40.0
2020-02,1003872,175.0
2020-02,1003874,81.0
2020-02,1003875,787.5
2020-02,1003883,40.0
2020-02,1003915,48.8
2020-02,1003916,36.0
2020-02,1003930,12.0
2020-02,1003934,0.0
2020-02,1004126,11.0
2020-02,1004132,0.0
2020-02,1004134,0.0
2020-02,1004137,0.0
2020-02,1004146,180.0
2020-02,1004147,130.0
2020-02,1004150,20.0
2020-02,1004151,0.0
2020-02,1004157,520.0
2020-02,1004158,0.0
2020-02,1004159,1280.0
2020-02,1007270,0.0
2020-02,1007307,66.0
2020-02,1007308,0.0
2020-02,1007309,800.0
2020-02,1007310,100.0
2020-02,1008505,800.0
2020-02,1010520,96.0
2020-02,1010975,180.0
2020-02,1010976,720.0
2020-02,1011721,625.0
2020-02,1012304,80.0
2020-02,1012308,-200.0
2020-02,1012721,0.0
2020-02,1015578,110.0
2020-02,1016231,2000.0
2020-02,1017862,400.0
2020-02,1018434,2100.0
2020-02,1018660,0.0
2020-02,1018661,0.0
2020-02,1018662,150.0
2020-02,1019983,0.0
2020-02,1024148,0.0
2020-02,1025298,410.0
2020-02,1030868,912.0
2020-02,1030869,9456.0
2020-02,1030870,384.0
2020-02,1030871,120.0
2020-02,1031806,84.0
2020-02,1032664,31.2
2020-02,1032665,0.0
2020-02,1032673,0.0
2020-02,1032719,0.0
2020-02,1041317,937.5
2020-02,1041779,20.0
2020-02,1041780,10.0
2020-02,1041782,80.0
2020-02,1041787,0.0
2020-02,1041788,0.0
2020-02,1041789,0.0
2020-02,1041791,0.0
2020-02,1041795,0.0
2020-02,1041799,0.0
2020-02,1041807,0.0
2020-02,3001601,11250.0
2020-02,3002507,3750.0
2020-02,3011491,6000.0
2020-02,3017624,300.0
2020-02,3018803,360.0
2020-02,3019452,30259.0
2020-02,3024247,585.0
2020-03,1003831,50.0
2020-03,1003856,180.0
2020-03,1003861,10.0
2020-03,1003863,260.0
2020-03,1003865,0.0
2020-03,1003866,170.0
2020-03,1003872,500.0
2020-03,1003874,0.0
2020-03,1003875,2037.5
2020-03,1003883,80.0
2020-03,1003915,49.6
2020-03,1003916,24.0
2020-03,1003934,0.0
2020-03,1004126,80.0
2020-03,1004132,0.0
2020-03,1004134,80.0
2020-03,1004135,-2.0
2020-03,1004146,180.0
2020-03,1004147,160.0
2020-03,1004151,1.0
2020-03,1004157,535.0
2020-03,1004158,40.0
2020-03,1004159,1390.0
2020-03,1006777,600.0
2020-03,1007270,0.0
2020-03,1007307,3.0
2020-03,1007308,16.0
2020-03,1007309,0.0
2020-03,1007310,0.0
2020-03,1008505,2780.0
2020-03,1010520,48.0
2020-03,1010975,260.0
2020-03,1010976,400.0
2020-03,1011721,662.5
2020-03,1012304,590.0
2020-03,1012308,60.0
2020-03,1015577,5.0
2020-03,1015578,420.0
2020-03,1016231,3000.0
2020-03,1018434,440.0
2020-03,1018660,0.0
2020-03,1018661,0.0
2020-03,1018662,0.0
2020-03,1019983,0.0
2020-03,1025298,300.0
2020-03,1025986,8.0
2020-03,1030868,984.0
2020-03,1030869,14736.0
2020-03,1030870,3168.0
2020-03,1030871,72.0
2020-03,1031806,132.0
2020-03,1032665,0.0
2020-03,1032673,9.0
2020-03,1032719,0.0
2020-03,1041591,40.0
2020-03,1041779,50.0
2020-03,1041781,0.0
2020-03,1041782,0.0
2020-03,1041788,0.0
2020-03,1041789,0.0
2020-03,1041791,-1.0
2020-03,1041795,0.0
2020-03,1041799,0.0
2020-03,1042914,0.0
2020-03,3001601,29250.0
2020-03,3001603,7525.0
2020-03,3002507,4125.0
2020-03,3002511,10.0
2020-03,3014380,1200.0
2020-03,3017353,1600.0
2020-03,3017624,6200.0
2020-03,3019451,8169.0
2020-03,3019452,41682.0
2020-03,3021522,2440.0
2020-03,1003831,75.0
2020-03,1003856,80.0
2020-03,1003861,0.0
2020-03,1003863,780.0
2020-03,1003865,0.0
2020-03,1003866,80.0
2020-03,1003872,112.5
2020-03,1003874,31.5
2020-03,1003875,287.5
2020-03,1003883,140.0
2020-03,1003915,76.0
2020-03,1003916,36.0
2020-03,1003930,4.0
2020-03,1003934,25.0
2020-03,1004086,10.0
2020-03,1004126,62.0
2020-03,1004132,0.0
2020-03,1004134,30.0
2020-03,1004135,0.0
2020-03,1004146,100.0
2020-03,1004147,26.0
2020-03,1004151,0.0
2020-03,1004157,355.0
2020-03,1004158,0.0
2020-03,1004159,31.0
2020-03,1007307,79.0
2020-03,1007308,0.0
2020-03,1007309,720.0
2020-03,1007310,30.0
2020-03,1008505,2160.0
2020-03,1010520,168.0
2020-03,1010975,520.0
2020-03,1010976,1100.0
2020-03,1012304,620.0
2020-03,1012308,60.0
2020-03,1015578,430.0
2020-03,1015882,0.0
2020-03,1016231,2000.0
2020-03,1017862,400.0
2020-03,1018434,360.0
2020-03,1018660,0.0
2020-03,1018661,1.0
2020-03,1018662,0.0
2020-03,1019983,0.0
2020-03,1025298,325.0
2020-03,1025986,8.0
2020-03,1030868,14712.0
2020-03,1030869,4152.0
2020-03,1030870,168.0
2020-03,1030871,168.0
2020-03,1031806,120.0
2020-03,1032664,20.8
2020-03,1032665,0.0
2020-03,1032673,3.0
2020-03,1032719,0.0
2020-03,1041591,80.0
2020-03,1041779,295.0
2020-03,1041780,40.0
2020-03,1041782,240.0
2020-03,1041788,0.0
2020-03,1041796,20.0
2020-03,1041799,0.0
2020-03,1041807,0.0
2020-03,1042914,0.0
2020-03,1044660,0.0
2020-03,3001601,9000.0
2020-03,3001603,8000.0
2020-03,3002507,5375.0
2020-03,3017624,1200.0
2020-03,3018812,384.0
2020-03,3018813,528.0
2020-03,3019452,49067.0
2020-03,1003831,20.0
2020-03,1003861,0.0
2020-03,1003863,160.0
2020-03,1003866,130.0
2020-03,1003872,250.0
2020-03,1003874,67.5
2020-03,1003875,1200.0
2020-03,1003883,20.0
2020-03,1003915,12.0
2020-03,1003916,120.0
2020-03,1003930,4.0
2020-03,1003934,0.0
2020-03,1004134,0.0
2020-03,1004137,0.0
2020-03,1004146,0.0
2020-03,1004147,120.0
2020-03,1004157,305.0
2020-03,1004158,0.0
2020-03,1004159,1220.0
2020-03,1007307,25.0
2020-03,1007309,720.0
2020-03,1007310,160.0
2020-03,1008505,1400.0
2020-03,1010520,156.0
2020-03,1010975,100.0
2020-03,1010976,460.0
2020-03,1012304,530.0
2020-03,1015577,20.0
2020-03,1015578,20.0
2020-03,1018434,3880.0
2020-03,1018660,0.0
2020-03,1018661,0.0
2020-03,1018662,0.0
2020-03,1025298,40.0
2020-03,1025986,0.0
2020-03,1030868,3456.0
2020-03,1030869,4272.0
2020-03,1030870,1248.0
2020-03,1031806,36.0
2020-03,1032664,0.0
2020-03,1032673,0.0
2020-03,1041788,0.0
2020-03,1041789,0.0
2020-03,1041791,0.0
2020-03,1041799,0.0
2020-03,1041807,0.0
2020-03,1044660,4728.0
2020-03,3001601,20250.0
2020-03,3001603,4575.0
2020-03,3002507,4375.0
2020-03,3017624,7800.0
2020-03,3019451,8557.0
2020-03,3019452,35239.0
2020-03,3021522,2820.0
2020-03,1003863,220.0
2020-03,1003865,0.0
2020-03,1003866,0.0
2020-03,1003872,100.0
2020-03,1003874,27.0
2020-03,1003875,825.0
2020-03,1003883,40.0
2020-03,1003915,72.8
2020-03,1003916,0.0
2020-03,1003934,0.0
2020-03,1004126,1.0
2020-03,1004132,0.0
2020-03,1004134,120.0
2020-03,1004146,0.0
2020-03,1004147,0.0
2020-03,1004157,20.0
2020-03,1004158,0.0
2020-03,1004159,2100.0
2020-03,1006777,625.0
2020-03,1007307,60.0
2020-03,1007308,0.0
2020-03,1008505,800.0
2020-03,1010520,36.0
2020-03,1010975,20.0
2020-03,1010976,220.0
2020-03,1011721,625.0
2020-03,1012304,90.0
2020-03,1015575,37.5
2020-03,1015577,0.0
2020-03,1015578,20.0
2020-03,1018434,0.0
2020-03,1018660,0.0
2020-03,1018661,0.0
2020-03,1018662,0.0
2020-03,1019983,0.0
2020-03,1024148,0.0
2020-03,1025298,0.0
2020-03,1025986,0.0
2020-03,1030868,2160.0
2020-03,1030869,9048.0
2020-03,1030870,168.0
